COMMAND AND ACCESS BYTE MOST SIGNIFICANT DATA BYTE.C3 X,COMMAND AND ACCESS BYTE MOST SIGNIFICANT DATA BYTE.C2,COMMAND AND ACCESS BYTE MOST SIGNIFICANT DATA BYTE.C1,COMMAND AND ACCESS BYTE MOST SIGNIFICANT DATA BYTE.C0,COMMAND AND ACCESS BYTE MOST SIGNIFICANT DATA BYTE.A3,COMMAND AND ACCESS BYTE MOST SIGNIFICANT DATA BYTE.A2,COMMAND AND ACCESS BYTE MOST SIGNIFICANT DATA BYTE.,COMMAND AND ACCESS BYTE MOST SIGNIFICANT DATA BYTE.A1 A0,COMMAND AND ACCESS BYTE MOST SIGNIFICANT DATA BYTE.,COMMAND AND ACCESS BYTE MOST SIGNIFICANT DATA BYTE.,COMMAND AND ACCESS BYTE MOST SIGNIFICANT DATA BYTE.,COMMAND AND ACCESS BYTE MOST SIGNIFICANT DATA BYTE.DATA [7:0],COMMAND AND ACCESS BYTE MOST SIGNIFICANT DATA BYTE.,LEAST SIGNIFICANT DATA BYTE DESCRIPTION.,LEAST SIGNIFICANT DATA BYTE DESCRIPTION.X,LEAST SIGNIFICANT DATA BYTE DESCRIPTION.X X,LEAST SIGNIFICANT DATA BYTE DESCRIPTION.X,LEAST SIGNIFICANT DATA BYTE DESCRIPTION.X,LEAST SIGNIFICANT DATA BYTE DESCRIPTION.,LEAST SIGNIFICANT DATA BYTE DESCRIPTION.X,LEAST SIGNIFICANT DATA BYTE DESCRIPTION.X,LEAST SIGNIFICANT DATA BYTE DESCRIPTION.General data,LEAST SIGNIFICANT DATA BYTE DESCRIPTION.format for 8-bit DAC5578,LEAST SIGNIFICANT DATA BYTE DESCRIPTION.format for 8-bit DAC5578,LEAST SIGNIFICANT DATA BYTE DESCRIPTION.
C3 D1,C2,C1,C0,A3,A2,A1,,A0,,,DATA [9:2],,,D0,X X,X,X,,X,X,,General data format for 10-bit DAC6578,General data format for 10-bit DAC6578,
C3 D3,C2,C1,C0,A3,A2,,A1 A0,,,,DATA [11:4],,,D2,,D1,D0 X X,X,X,,,General data format for 12-bit DAC7578,General data format for 12-bit DAC7578,
Input Register,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,,,,Data[11:4],,,Data[3:0],,0,,0,,0,0,Read from DAC input register channel A,Read from DAC input register channel A,
0,0,0,0,0,0,0,1,,,,Data[11:4],,,Data[3:0],,0,,0,0,0,,Read from DAC input register channel B,Read from DAC input register channel B,
0,0,0,0,0,0,1,0,,,,Data[11:4],,,Data[3:0],,0,,0,0,0,,Read from DAC input register channel C,Read from DAC input register channel C,
0,0,0,0,0,0,1,1,,,,Data[11:4],,,Data[3:0],,0,0,0,0,,Read,from DAC input register channel D,from DAC input register channel D,
0,0,0,0,0,1,0,0,,,,Data[11:4],,,Data[3:0],,0,,0,0,0,,Read from DAC input register channel E,Read from DAC input register channel E,
0,0,0,,0 0,1,0,1,,,,Data[11:4],,,Data[3:0],,0,,0,0,,0,Read from DAC input register channel F,Read from DAC input register channel F,
0,0,0,0,0,1,1,0,,,,Data[11:4],,,Data[3:0],,0,,0,0,0,,Read from DAC input register channel G,Read from DAC input register channel G,
0,0,0,0,0,1,1,1,,,,Data[11:4],,,Data[3:0],,0,,0,,0,0,Read from DAC input register channel H,Read from DAC input register channel H,
0 X,0,,0,0 1,X,X,X,,X,X X,X X,X X,X,X,X X,,X,X,X,X,,Invalid code,Invalid code,
DAC Register,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,0,0,0,0,,,,Data[11:4],,,Data[3:0],,0,,,0,0,0,Read DAC A DAC register,Read DAC A DAC register,
0,,0,0,1 0,0,0,1,,,,Data[11:4],,,Data[3:0],,0,,,0 0,0,,,Read DAC B DAC register,
0,,0,0,1 0,0,1,0,,,,Data[11:4],,,Data[3:0],,0,0,0,,0,Read DAC C DAC register,Read DAC C DAC register,Read DAC C DAC register,
0,,0,0,1 0,0,1,1,,,,Data[11:4],,,Data[3:0],,0,0,0,,0,,Read DAC D DAC register,Read DAC D DAC register,
0,,0,0,1 0,1,0,0,,,,Data[11:4],,,Data[3:0],,0,,0,0,0,,Read DAC E DAC register,Read DAC E DAC register,
0,,0,0,1 0,1,0,1,,,,Data[11:4],,,Data[3:0],,0,0,0,,0,Read,DAC F DAC register,DAC F DAC register,
0,,0,0,1 0,1,1,0,,,,Data[11:4],,,Data[3:0],,0,0,0,0,,Read DAC G DAC register,Read DAC G DAC register,Read DAC G DAC register,
0,0,,0,1 0,1,1,1,,,,Data[11:4],,,Data[3:0],,0,0,0,0,Read DAC H DAC register,Read DAC H DAC register,Read DAC H DAC register,Read DAC H DAC register,
0 X X,,0,0,1 1,X,X,X,,X,X X,X X,X,X,X,X,X,X,X,X,X,,,Invalid code,
Power Down Register,,,,,,,,,,,,,,,,,,,,,,,,
0,1,,0,0 X,X,X,X,0,,0,0,0,PD0,DAC F,DAC E,DAC D,DAC C,DAC B,DAC A,Read power down register,Read power down register,Read power down register,Read power down register,
0 0 PD1 DAC H DAC G,,,,,,,,,,,,,,,,,,,,,,,,
Clear,,Code Register,0,,X,,X,0,0,0,0,,,0,0,,,,,CL0,,Read clear code,,
0 0,1,,1,X,X,,,,,,0,0 0,0,,0,0,0,,CL1,,,register,register,
LDAC 0 DAC,Register,1,1,0 X,X,X X,,0,0,0,0 0,0 0,0,H DAC G DAC F,DAC E,DAC D,DAC C,DAC B DAC A Read,LDAC register,,,,,
