PARAMETER.,,TEST CONDITIONS.TEST CONDITIONS,"DAC5578, DAC6578, DAC7578.MIN TYP","DAC5578, DAC6578, DAC7578.MAX",UNIT.UNIT
STATIC PERFORMANCE (1),STATIC PERFORMANCE (1),STATIC PERFORMANCE (1),STATIC PERFORMANCE (1),STATIC PERFORMANCE (1),STATIC PERFORMANCE (1)
DAC5578,Resolution,,8,,Bits
,Relative accuracy,Measured by the line passing through codes 4 and 250,±0.01,±0.25,LSB
,Differential nonlinearity,,±0.01,±0.25,LSB
,Resolution,,10,,Bits
DAC6578,Relative accuracy,Measured by the line passing through codes 12 and 1012,±0.06,±0.5,LSB
,Differential nonlinearity,,±0.03,±0.5,LSB
DAC7578,Resolution,,12,,Bits
,Relative accuracy,Measured by the line passing through codes 30 and 4050,±0.3,±1,LSB
,Differential nonlinearity,,±0.1,±0.25,LSB
Offset error,Extrapolated from (2),"two-point line passing through two codes , unloaded",0.5,±4,mV
Offset error drift,,,3,,μ V/°C
Full-scale error,DAC register loaded with,all '1's ±0.03,,±0.2,% of FSR
Full-scale error drift,,,2,,μ V/°C
Zero-code error,DAC register loaded with,all '0's,1,4,mV
Zero-code error drift,,,2,,μ V/°C
Gain error,"Extrapolated from codes (2) , unloaded",two-point line passing through two,±0.01,±0.15,% of FSR
Gain temperature coefficient,,,±1,,ppm of FSR/°C
OUTPUT CHARACTERISTICS (3),OUTPUT CHARACTERISTICS (3),OUTPUT CHARACTERISTICS (3),OUTPUT CHARACTERISTICS (3),OUTPUT CHARACTERISTICS (3),OUTPUT CHARACTERISTICS (3)
Output voltage range,,,0,AV DD,V
,"DACs unloaded, 1/4 scale to 3/4",scale,7,,μ s
Output voltage settling time,R L = 1M Ω and C L = 470pF,12,,,μ s
Slew rate,,,0.75,,V/ μ s
Capacitive load stability,R L = ∞,470,,,pF
,R L = 2k Ω,1000,,,pF
Code change glitch impulse,1LSB change around,major carry 0.15,,,nV-s
Digital feedthrough,SCL toggling,1.5,,,nV-s
Power-on glitch,R L = ∞,3,,,mV
Channel-to-channel dc crosstalk,Full-scale swing on adjacent channel,0.1,,,LSB
DC output impedance,At midscale input,4.5,,,Ω
Short-circuit current,DAC outputs shorted to GND,25,,,mA
Power-up time (including settling time),"Coming out of power-down mode, AV DD = 5V",50,,,μ s
