C3,COMMAND AND.C2,COMMAND AND.C1,COMMAND AND.C0,COMMAND AND.A3,COMMAND AND.A2,COMMAND AND.A1,COMMAND AND.A0,MOST SIGNIFICANT DATA BYTE.,MOST SIGNIFICANT DATA BYTE.,MOST SIGNIFICANT DATA BYTE.DATA[7:0],MOST SIGNIFICANT DATA BYTE.,MOST SIGNIFICANT DATA BYTE.,LEAST SIGNIFICANT DATA BYTE.X,LEAST SIGNIFICANT DATA BYTE.X,LEAST SIGNIFICANT DATA BYTE.X,LEAST SIGNIFICANT DATA BYTE.X,LEAST SIGNIFICANT DATA BYTE.,LEAST SIGNIFICANT DATA BYTE.X X,LEAST SIGNIFICANT DATA BYTE.,LEAST SIGNIFICANT DATA BYTE.X X,DESCRIPTION.General data format for 8-bit DAC5578,DESCRIPTION.General data format for 8-bit DAC5578,DESCRIPTION.General data format for 8-bit DAC5578,DESCRIPTION.General data format for 8-bit DAC5578,DESCRIPTION.General data format for 8-bit DAC5578,DESCRIPTION.General data format for 8-bit DAC5578,DESCRIPTION.General data format for 8-bit DAC5578
C3,C2,C1,C0 A3,A2,,A1,A0,,,DATA[9:2],,,D1,D0,X,,X,X X,X,X,General data format for 10-bit DAC6578,General data format for 10-bit DAC6578,General data format for 10-bit DAC6578,General data format for 10-bit DAC6578,General data format for 10-bit DAC6578,General data format for 10-bit DAC6578,General data format for 10-bit DAC6578
C3,C2,C1,C0,A3,A2,A1,A0,,,DATA[11:4],,,D3,D2,D1,D0,,X X,X,X,General data format for 12-bit DAC7578,General data format for 12-bit DAC7578,General data format for 12-bit DAC7578,General data format for 12-bit DAC7578,General data format for 12-bit DAC7578,General data format for 12-bit DAC7578,General data format for 12-bit DAC7578
Write,to DAC,Input,Register,,0,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,,0,0,,,Data[11:4],,,,,Data[3:0],,X,X,X,X,Write to DAC input register of channel A,Write to DAC input register of channel A,Write to DAC input register of channel A,Write to DAC input register of channel A,Write to DAC input register of channel A,Write to DAC input register of channel A,Write to DAC input register of channel A
0,0,0,0,0,0,0,1,,,Data[11:4],,,,,Data[3:0],,X,X,X,X,Write to DAC input register of channel B,Write to DAC input register of channel B,Write to DAC input register of channel B,Write to DAC input register of channel B,Write to DAC input register of channel B,Write to DAC input register of channel B,Write to DAC input register of channel B
0,0,0,0,0,0,1,0,,,Data[11:4],,,,,Data[3:0],,X,X,X,X,Write to DAC input register of channel C,Write to DAC input register of channel C,Write to DAC input register of channel C,Write to DAC input register of channel C,Write to DAC input register of channel C,Write to DAC input register of channel C,Write to DAC input register of channel C
0,0,0,0,0,0,1,1,,,Data[11:4],,,,,Data[3:0],,X,X,X,X,Write to DAC input register of channel D,Write to DAC input register of channel D,Write to DAC input register of channel D,Write to DAC input register of channel D,Write to DAC input register of channel D,Write to DAC input register of channel D,Write to DAC input register of channel D
0,0,0,0,0,1,0 0,,,,Data[11:4],,,,Data[3:0],,X,X,,X,X,Write to DAC input register of channel E,Write to DAC input register of channel E,Write to DAC input register of channel E,Write to DAC input register of channel E,Write to DAC input register of channel E,Write to DAC input register of channel E,Write to DAC input register of channel E
0,,0 0,0,0,1,0,1,,,Data[11:4],,,,,Data[3:0],X,X,,X,X,Write to DAC input register of channel F,Write to DAC input register of channel F,Write to DAC input register of channel F,Write to DAC input register of channel F,Write to DAC input register of channel F,Write to DAC input register of channel F,Write to DAC input register of channel F
0,,0 0,0,0,1,1,0,,,Data[11:4],,,,,Data[3:0],,X,X,X,X,Write to DAC input register of channel G,Write to DAC input register of channel G,Write to DAC input register of channel G,Write to DAC input register of channel G,Write to DAC input register of channel G,Write to DAC input register of channel G,Write to DAC input register of channel G
0 0,0,0,0,0,1 X,1 1 X X,X,,X X,Data[11:4] X X,X,X X,X,Data[3:0] X,X,X,,X X X,X,X X,"X X Write to DAC input register of channel H Invalid code, no action performed","X X Write to DAC input register of channel H Invalid code, no action performed","X X Write to DAC input register of channel H Invalid code, no action performed","X X Write to DAC input register of channel H Invalid code, no action performed","X X Write to DAC input register of channel H Invalid code, no action performed","X X Write to DAC input register of channel H Invalid code, no action performed","X X Write to DAC input register of channel H Invalid code, no action performed"
