Orderable part number,Status (1),Material type (2),Package | Pins,Package qty | Carrier,RoHS (3),Lead finish/ Ball material (4),MSL rating/ Peak reflow (5),Op temp (°C),Part marking (6)
DAC6578SRGET.B,Active,Production,VQFN (RGE) | 24,250 | SMALL T&R,Yes,NIPDAU,Level-3-260C-168 HR,-40 to 125,DAC6578
DAC7578SPW,Active,Production,TSSOP (PW) | 16,90 | TUBE,Yes,NIPDAU,Level-3-260C-168 HR,-40 to 125,DAC7578
DAC7578SPW.A,Active,Production,TSSOP (PW) | 16,90 | TUBE,Yes,NIPDAU,Level-3-260C-168 HR,-40 to 125,DAC7578
DAC7578SPW.B,Active,Production,TSSOP (PW) | 16,90 | TUBE,Yes,NIPDAU,Level-3-260C-168 HR,-40 to 125,DAC7578
DAC7578SPWR,Active,Production,TSSOP (PW) | 16,2000 | LARGE T&R,Yes,NIPDAU,Level-3-260C-168 HR,-40 to 125,DAC7578
DAC7578SPWR.A,Active,Production,TSSOP (PW) | 16,2000 | LARGE T&R,Yes,NIPDAU,Level-3-260C-168 HR,-40 to 125,DAC7578
DAC7578SPWR.B,Active,Production,TSSOP (PW) | 16,2000 | LARGE T&R,Yes,NIPDAU,Level-3-260C-168 HR,-40 to 125,DAC7578
DAC7578SRGER,Active,Production,VQFN (RGE) | 24,3000 | LARGE T&R,Yes,NIPDAU,Level-3-260C-168 HR,-40 to 125,DAC7578
DAC7578SRGER.A,Active,Production,VQFN (RGE) | 24,3000 | LARGE T&R,Yes,NIPDAU,Level-3-260C-168 HR,-40 to 125,DAC7578
DAC7578SRGER.B,Active,Production,VQFN (RGE) | 24,3000 | LARGE T&R,Yes,NIPDAU,Level-3-260C-168 HR,-40 to 125,DAC7578
DAC7578SRGET,Active,Production,VQFN (RGE) | 24,250 | SMALL T&R,Yes,NIPDAU,Level-3-260C-168 HR,-40 to 125,DAC7578
DAC7578SRGET.A,Active,Production,VQFN (RGE) | 24,250 | SMALL T&R,Yes,NIPDAU,Level-3-260C-168 HR,-40 to 125,DAC7578
DAC7578SRGET.B,Active,Production,VQFN (RGE) | 24,250 | SMALL T&R,Yes,NIPDAU,Level-3-260C-168 HR,-40 to 125,DAC7578
